total_timesteps,approxkl,ep_len_mean,clipfrac,ep_reward_mean,time_elapsed,policy_entropy,value_loss,serial_timesteps,true_reward,n_updates,fps,explained_variance,policy_loss,fps1
3570000,0.00035137282,219.28,3.3333333e-06,-28.88509347088635,498.9399571418762,3.9298775,32.771362,35700,-0.2558599,119,7161,-0.00012791156768798828,-1.7706828e-06,43633
3600000,0.0016109633,227.44,0.0073400005,-28.466452811434866,503.1365535259247,3.9299195,38.537045,36000,-0.2469985,120,7324,-4.935264587402344e-05,-0.00070294423,44968
3630000,0.00055881194,260.65,0.00080000004,-32.03347984209657,507.24026131629944,3.9297402,26.449377,36300,-0.20470135,121,7256,-9.143352508544922e-05,-0.00021329573,43676
3660000,0.003106178,247.06,0.030093336,-31.568109151348473,511.38164591789246,3.92707,26.406433,36600,-0.21725745,122,7232,-7.915496826171875e-05,-0.00040882482,44705
3690000,0.002516651,283.33,0.017186666,-39.434621041864155,515.5372145175934,3.9185233,17.178898,36900,-0.17977533,123,7288,-3.361701965332031e-05,-0.00017932836,43621
3720000,0.002605214,253.94,0.026273334,-34.02727879703045,519.6596817970276,3.9128175,16.140429,37200,-0.193468,124,7147,-0.00020754337310791016,-0.00065942993,43931
3750000,0.0003362025,266.79,0.0,-32.012852532193065,523.8639614582062,3.9080176,16.381304,37500,-0.17932165,125,7383,-0.00022304058074951172,-1.0544687e-05,43756
3780000,0.0037780527,244.5,0.047996666,-28.41818055383861,527.933890581131,3.9021373,30.156317,37800,-0.20917736,126,7159,-6.783008575439453e-05,-0.0007322581,42653
3810000,0.006889926,251.08,0.09989666,-33.70792750038206,532.131180524826,3.898898,18.557724,38100,-0.21097521,127,7287,-0.00012290477752685547,-0.0015656023,45634
3840000,0.003287491,255.76,0.035806667,-33.764772507250306,536.2552676200867,3.8999233,12.997043,38400,-0.18941265,128,7223,-0.0002617835998535156,-0.0007157966,44979
3870000,0.0050795916,252.93,0.06677999,-32.464921730458734,540.4150793552399,3.8974738,20.256113,38700,-0.20022205,129,7214,-0.00016748905181884766,-0.00077750534,44549
3900000,0.0032453449,240.65,0.029383335,-29.435259427055716,544.5801343917847,3.8929405,27.305012,39000,-0.21471131,130,7395,-7.450580596923828e-05,-0.00029996928,43838
3930000,0.0021274255,276.02,0.01229,-36.6754125854373,548.6430022716522,3.886335,12.083087,39300,-0.16931067,131,7169,-0.0001691579818725586,-0.0004810098,43383
3960000,0.0009767655,248.44,0.0021933333,-30.002858789563177,552.8344943523407,3.8821292,36.278877,39600,-0.2230113,132,7199,2.1696090698242188e-05,-0.00033729957,42124
3990000,0.0013374999,230.52,0.0021499998,-29.46974878139794,557.0088143348694,3.8813171,32.017754,39900,-0.2372488,133,7142,-1.5139579772949219e-05,2.5812303e-06,38417
4020000,0.0052464856,264.02,0.071616665,-36.742678306475284,561.2170948982239,3.879689,25.72078,40200,-0.20880485,134,7290,-0.00011181831359863281,-0.0008240735,45488
4050000,0.005299924,255.15,0.07138,-32.994430461078885,565.3386719226837,3.8766046,30.19075,40500,-0.2150935,135,7392,-1.4424324035644531e-05,-0.0008606009,44280
4080000,0.004202247,246.84,0.050193332,-33.75042738072574,569.4038064479828,3.8773944,28.743164,40800,-0.23034696,136,7292,-9.179115295410156e-06,-0.0010030424,43895
4110000,0.0018210415,243.01,0.01128,-31.736929772272706,573.5251953601837,3.876854,38.374847,41100,-0.23714396,137,7292,-2.396106719970703e-05,-0.00082437263,43209
4140000,0.004886055,275.3,0.06234333,-38.92284899692982,577.6459472179413,3.8732612,25.708355,41400,-0.19591618,138,6953,-1.9073486328125e-05,-0.0011133832,41907
4170000,0.0007684453,198.29,0.00021,-25.45045839898288,581.9665884971619,3.8678107,33.431507,41700,-0.2725047,139,7380,1.049041748046875e-05,-0.00068473624,43474
4200000,0.003014461,229.13,0.03043,-28.869588019996883,586.0397608280182,3.8653145,28.47761,42000,-0.2442466,140,6640,6.628036499023438e-05,-0.00085382006,28422
4230000,0.0004967613,283.95,3.6666668e-05,-37.58670165926218,590.5648646354675,3.8636734,8.142255,42300,-0.15663837,141,7351,-0.00035250186920166016,-0.00024428082,45881
4260000,0.0032212113,248.73,0.035796665,-32.008353016898035,594.6525659561157,3.8634334,27.918615,42600,-0.2125502,142,7208,-0.0001404285430908203,-0.0006318639,43425
4290000,0.00028368586,160.85,0.0,-19.845082685872914,598.8211190700531,3.8634553,45.117363,42900,-0.3158896,143,7309,0.00011622905731201172,-0.0002618749,42069
4320000,0.0047826124,222.37,0.063666664,-28.336036576777698,602.945996761322,3.8623815,25.517849,43200,-0.24712263,144,7365,-0.00012993812561035156,-0.0021380659,45444
4350000,0.00067904295,284.41,0.00029,-38.790112519413235,607.0260889530182,3.8612683,12.816564,43500,-0.16978933,145,7202,-0.00018525123596191406,-0.00049583084,44215
4380000,0.0039949478,242.05,0.048806667,-29.395324974432587,611.1971855163574,3.8603072,24.30577,43800,-0.21014287,146,7263,-0.00022161006927490234,-0.0005619287,43537
4410000,0.002204376,208.42,0.015006667,-25.585911561176182,615.3341257572174,3.8602066,33.77972,44100,-0.26255995,147,7333,5.7816505432128906e-05,8.546067e-05,44016
4440000,0.004441381,261.54,0.057159998,-36.67734384253621,619.4336078166962,3.8601506,13.459849,44400,-0.19410124,148,7182,-0.00019073486328125,-0.0014957733,43482
4470000,0.0013577349,254.86,0.006306667,-30.92102721720934,623.6172587871552,3.85852,19.984114,44700,-0.19332914,149,7285,-0.00025522708892822266,-0.0004180814,44656
4500000,0.0016067049,224.42,0.01077,-29.598653156831862,627.7421996593475,3.8545194,25.209532,45000,-0.2407079,150,7290,-9.644031524658203e-05,-0.001218257,43637
4530000,0.002287772,241.54,0.01454,-31.028276283703743,631.8640012741089,3.8525825,27.634333,45300,-0.22692084,151,7242,-0.00013256072998046875,-0.00017288113,46183
4560000,0.0023195404,258.71,0.016016668,-33.52753494732082,636.0128555297852,3.850879,22.428946,45600,-0.20040958,152,7256,-0.0001220703125,-0.0003199021,43751
4590000,0.0006640976,272.82,0.00037666666,-35.59888779386878,640.1538555622101,3.8477597,14.4415865,45900,-0.18078846,153,7308,-0.0001703500747680664,-0.0004372502,43443
4620000,0.0029352582,256.55,0.028263334,-32.03888858616352,644.265820980072,3.8459382,20.418583,46200,-0.18983313,154,7345,-0.00016641616821289062,-0.00089739653,44232
4650000,0.00040561473,211.72,0.0,-22.762178146988152,648.356858253479,3.845962,55.613457,46500,-0.2772181,155,7125,9.745359420776367e-05,0.00014096909,43159
4680000,0.0015111433,191.72,0.0055633336,-19.91742033161223,652.5740776062012,3.84581,47.653503,46800,-0.28056183,156,7356,0.00017714500427246094,-0.0009232856,43746
4710000,0.00083712145,259.36,0.00049,-32.67426860406995,656.6600172519684,3.8452091,16.153591,47100,-0.18432821,157,7165,-0.00022745132446289062,-0.00016604124,42865
4740000,0.00047276806,278.31,0.00012,-38.25948974054307,660.8541266918182,3.8437953,16.763317,47400,-0.18431126,158,7190,-0.0001214742660522461,-0.00024259218,44775
4770000,0.0020640916,265.24,0.012123333,-36.01426235735416,665.0338008403778,3.8393886,16.342632,47700,-0.18894018,159,7039,-0.0001385211944580078,-0.0003749676,43468
4800000,0.0033719433,233.93,0.036993332,-27.800734836906194,669.3022363185883,3.8325794,29.63873,48000,-0.22676954,160,7182,-6.401538848876953e-05,-0.00076974713,45255
